symbol,level_type,side,event_timestamp_ms,control_timestamp_ms,event_5m_bps,control_5m_bps,excess_5m_bps,event_15m_bps,control_15m_bps,excess_15m_bps,event_60m_bps,control_60m_bps,excess_60m_bps
BTCUSDT,session_vwap,short,1738887540000,1738889100000,-18.878958345192043,6.859655794492214,-25.73861413968426,-2.525474690913132,-4.745804159935751,2.2203294690226194,-7.710978052175577,-23.894813084741617,16.18383503256604
BTCUSDT,session_vwap,long,1738888260000,1738454700000,-23.861637637935253,18.057361954650908,-41.91899959258616,-31.539938532255675,24.281981218754467,-55.82191975101014,-24.82271702309302,70.55894296816857,-95.38165999126159
BTCUSDT,session_vwap,long,1738890240000,1739323560000,10.565989311894786,-1.5648701262116482,12.130859438106434,6.126411040785484,13.176206462703899,-7.0497954219184145,89.06063077196879,13.499612955454321,75.56101781651446
BTCUSDT,session_vwap,short,1738891680000,1740532200000,-1.4179244277334746,-7.225359880678184,5.807435452944709,-14.075746143917822,-0.509625696913929,-13.566120447003893,-75.65713552356135,-33.28422051616986,-42.37291500739149
BTCUSDT,session_vwap,long,1738892160000,1738632000000,-1.9439983703495312,-5.099767292172652,3.155768921823121,27.10223259940525,11.556171708668739,15.546060890736513,72.31053512691376,3.9906916868837072,68.31984344003006
BTCUSDT,session_vwap,short,1738894620000,1738808940000,-40.61500663175677,-3.0253480951114575,-37.58965853664532,-38.059177744500516,-10.434363838240923,-27.624813906259593,-51.32269297796421,-2.613736109382536,-48.70895686858167
BTCUSDT,session_vwap,long,1738894680000,1738463940000,20.99466741625644,8.474525754409434,12.520141661847006,31.754563173973516,-17.386190000258097,49.14075317423161,50.77229280507911,-112.66251120167436,163.43480400675347
BTCUSDT,session_vwap,short,1738905900000,1738991100000,6.366177598872147,3.1503431066748355,3.2158344921973114,-6.942116121546604,3.6390101892280757,-10.58112631077468,17.43242492744157,4.0964857558734025,13.335939171568167
BTCUSDT,session_vwap,long,1738906380000,1740547740000,-5.848379978188323,-6.994795016462829,1.1464150382745064,-3.4843599518552537,0.04505504036300678,-3.5294149922182605,-49.24356498331228,-7.6818843820081195,-41.56168060130416
BTCUSDT,session_vwap,long,1738908300000,1739083320000,-12.205454717455488,0.29928656275490795,-12.504741280210396,-8.904737814082742,5.459399713716451,-14.364137527799192,-37.85027701343813,17.018053171868885,-54.868330185307016
